,ID,PDB code,Subset,Complex Type,Resolution,Affinity Data,pKd pKi pIC50,dG,partition,partition_id,casf,Release Year,Protein Name,Ligand Name,Pubmed ID,Pubchem SID,EC number,Reference,UniProt AC,Formula,Molecular Weight,Exact Mass,No. of atoms,No. of bonds,Polar Surface Area,XLOGP3,open banel LogP,HB donor,HB acceptor,Rotatable bonds,Canonical SMILES,AA Bio Assem,notes,030525 Predicted DG,trunc_rad,lig_charge
243,1057,2f1g,refined,Protein-Ligand,1.9,Ki=29nM,7.54,-10.2544,"(-10.815, -9.466]",6,FALSE,2006,cathepsin s,GNF,16446091,46394077,E.C.3.4.22.27,"Bioorg.Med.Chem.Lett. v16 pp. 1975-80, 2006",P25774,C25H32N4O3,436.547,436.247,64,67,88.42,6.21,5.35,3,2,11,COc1ccc(cc1)NCCNC(=O)[C@@H](Nc1nc2c(o1)cccc2)CC1CCCCC1,220,,-13.15,8,0
331,2603,3wz8,refined,Protein-Ligand,1.45,Ki=1.5uM,5.82,-7.9152,"(-8.116, -6.767]",4,TRUE,2015,Endothiapepsin,IXV,25630461,0,E.C.3.4.23.22,(2015) Angew.Chem.Int.Ed.Engl. Vol. 54: pp. 2849-2853,P11838,C27H25N3O2S,455.571,455.167,58,61,98.47,6.23,6.32,3,2,11,O=C(Nc1scc(c1C(=O)NCc1ccccc1)c1ccccc1)CCNc1ccccc1,330,,10.08,8,0
538,4864,6r9u,refined,Protein-Ligand,1.26,Kd=7.5mM,3.12,-4.2432,"(-5.418, -4.069]",2,FALSE,2019,human Cyclophilin D,JVQ,31635932,,E.C.5.2.1.8,(2019) Bioorg.Med.Chem.Lett. Vol. 29: pp. 126717-126717,P30405,C13H16N2O3,248.278,248.116,34,36,50.8,1.09,1.66,1,1,1,CCN1Cc2cc3OCOc3cc2NCCC1=O,164,passed with ANISOU 092524,-2.78,8,0
584,4575,5yas,refined,Protein-Ligand,2.2,Ki=0.55mM,3.26,-4.4336,"(-5.418, -4.069]",2,FALSE,1999,hydroxynitrile lyase,FAC,10548044,46394418,E.C.4.2.1.39,"Protein Sci. v8 pp. 1990-2000, 1999",P52704,C3H2F6O2,184.037,183.996,13,12,40.46,1.07,0.79,2,2,2,OC(C(F)(F)F)(C(F)(F)F)O,256,passed 092524,1.24,8,0
592,4962,6oqc,refined,Protein-Ligand,1.8,Ki=0.04nM,10.4,-14.144,"(-14.862, -13.513]",9,FALSE,2019,Induced myeloid leukemia cell differentiation protein Mcl-1,N0S,30254093,,E.C.-.-.-.-,(2018) Cancer Discov Vol. 8: pp. 1582-1597,Q07820,C31H37ClN2O5S,585.154,584.211,77,82,104.32,5.79,6.47,2,4,1,O[C@H]1/C=C/CC[C@@H](C)S(=O)(=O)NC(=O)c2cc3N(C[C@H]4[C@H]1CC4)C[C@@]1(CCCc4c1ccc(c4)Cl)COc3cc2,152,,-27.05,8,0
611,3992,5fnr,refined,Protein-Ligand,1.89,Kd=59uM,4.23,-5.7528,"(-6.767, -5.418]",3,FALSE,2016,Keap1 Kelch domain,XMS,27031670,0,E.C.-.-.-.-,(2016) J.Med.Chem. Vol. 59: pp. 3991-4006,Q9Z2X8,C16H14ClN3O2,315.754,315.077,36,38,68.01,4.4,3.23,0,4,3,OC(=O)C[C@H](c1ccc2c(c1)nnn2C)c1ccc(cc1)Cl,289,passed 092524,12.44,8,-1
642,4237,5lz4,refined,Protein-Ligand,2.07,Kd=2uM,5.7,-7.752,"(-8.116, -6.767]",4,FALSE,2016,Lipoprotein-Associated Phospholipase A2 (Lp-PLA2),7BW,27933945,0,E.C.3.1.1.47 ,(2016) J. Med. Chem. Vol. 59: pp. 10738-10749,Q13093,C15H17FN2O2,276.306,276.127,37,38,53.33,2.11,2.27,0,2,4,N#Cc1cc(OCCN2CC(CC2=O)(C)C)ccc1F,371,,8.98,8,0
691,3279,4mre,refined,Protein-Ligand,1.58,Kd=6.4mM,2.19,-2.9784,"(-4.069, -2.72]",1,FALSE,2014,murine cd44 hyaluronan binding domain,2C9,24606063,0,E.C.-.-.-.-,(2014) J.Med.Chem. Vol. 57: pp. 2714-2725,P15379,C7H10N2,122.168,122.084,19,19,52.04,0.92,2.32,2,0,0,Nc1c(C)cccc1N,150,,6.98,8,0
762,3858,5dit,refined,Protein-Ligand,2.25,Ki=0.7uM,6.15,-8.364,"(-9.466, -8.116]",5,FALSE,2015,Peptidyl-prolyl cis-trans isomerase FKBP5 Fk1 domain,5B8,26419422,0,E.C.5.2.1.8,(2015) J.Med.Chem. Vol. 58: pp. 7796-7806,Q13451,C39H57N2O8,681.878,681.411,106,110,108.2,6.4,5.68,2,3,18,COc1cc(CC[C@H](c2cccc(c2)OCC[NH+]2CCOCC2)OC(=O)[C@@H]2CCCCN2C(=O)[C@@H](C2CCCCC2)[C@H](O)C)ccc1OC,128,,-13.3,8,1
929,1657,3acw,refined,Protein-Ligand,1.63,Ki=17.5uM,4.76,-6.4736,"(-6.767, -5.418]",3,TRUE,2010,Staphylococcus aureus dehydrosqualene synthase (CrtM),LIG,,0,E.C.2.5.1.-,"(2010) Proc.Natl.Acad.Sci.USA, vol. 107, no. 50, pp. 21337-21342",A9JQL9,C19H22NO,280.384,280.17,43,46,24.67,3.08,3.42,2,1,3,O[C@@]1(C[N@@H+]2CC[C@H]1CC2)c1ccc(cc1)c1ccccc1,284,,-11.42,8,1
945,2377,3rlb,refined,Protein-Ligand,2,Kd=120pM,9.92,-13.4912,"(-13.513, -12.164]",8,FALSE,2011,ThiT,VIB,21706007,0,E.C.-.-.-.-,(2011) Nat.Struct.Mol.Biol. Vol. 18: pp. 755-760,,C12H17N4OS,265.355,265.112,35,36,105.2,1.02,1.98,2,3,5,OCCc1scn(c1C)Cc1cnc(nc1N)C,176,,-12.58,8,0
978,105,1bzc,refined,Protein-Ligand,2.35,Ki=12uM,4.92,-6.6912,"(-6.767, -5.418]",3,TRUE,1999,tyrosine phosphatase 1b,TPI,9922143,46391598,E.C.3.1.3.48,"Biochemistry v37 pp. 17773-83, 1998",P18031,C17H18F2N2O7P,431.305,431.082,47,48,183.77,1.28,2.17,2,7,7,OC(=O)CC[C@@H](C(=O)N)NC(=O)c1ccc2c(c1)ccc(c2)C(P(O)(O)O)(F)F,297,,,8,-1
984,1122,2hb1,refined,Protein-Ligand,2,Ki=160uM,3.8,-5.168,"(-5.418, -4.069]",2,TRUE,2006,"tyrosine phosphatase, non-receptor type 1",LIG,16806920,46394237,E.C.3.1.3.48,Bioorg.Med.Chem.Lett.v16;pp.4941-4945,P18031,C7H5BrO5S,281.081,279.904,19,19,112.07,3.39,1.67,0,4,2,OC(=O)COc1c(Br)csc1C(=O)O,297,,-17.03,8,-2
1010,5195,6dy7,refined,Protein-Ligand,1.9,Kd=66.2uM,4.18,-5.6848,"(-6.767, -5.418]",3,FALSE,2019,WD repeat-containing protein 5,HH7,30865883,,E.C.-.-.-.-,(2019) Cell Rep Vol. 26: pp. 2916-2928.e13,P61964,C12H13Cl2N3O,286.157,285.044,31,32,49.94,3.66,3.67,2,1,6,Clc1ccc(c(c1)Cl)OCCCNc1ncc[nH]1,304,passed 092524,-6.38,8,0
